"tenure","MonthlyCharges","Contract","PaymentMethod","InternetService","Churn"
66,108.45,"One year","Electronic check","Fiber optic","No"
34,24.95,"Two year","Credit card (automatic)","No","No"
72,107.5,"Two year","Credit card (automatic)","Fiber optic","No"
47,100.5,"Month-to-month","Electronic check","Fiber optic","No"
60,89.9,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
72,42.1,"Two year","Bank transfer (automatic)","DSL","No"
18,54.4,"One year","Credit card (automatic)","DSL","No"
9,94.4,"Month-to-month","Electronic check","Fiber optic","Yes"
3,75.3,"Month-to-month","Electronic check","DSL","No"
47,78.9,"One year","Electronic check","Fiber optic","No"
31,79.2,"Two year","Mailed check","DSL","No"
50,20.15,"Two year","Bank transfer (automatic)","No","No"
10,79.85,"Month-to-month","Mailed check","Fiber optic","No"
1,49.05,"Month-to-month","Mailed check","DSL","No"
52,20.4,"One year","Electronic check","No","No"
64,111.6,"Two year","Bank transfer (automatic)","Fiber optic","No"
62,24.25,"Two year","Bank transfer (automatic)","No","No"
3,64.5,"Month-to-month","Bank transfer (automatic)","DSL","No"
56,110.5,"One year","Electronic check","Fiber optic","No"
46,55.65,"One year","Credit card (automatic)","DSL","No"
8,54.65,"Month-to-month","Mailed check","DSL","No"
30,74.75,"Month-to-month","Electronic check","DSL","No"
45,25.9,"One year","Credit card (automatic)","No","No"
1,79.35,"Month-to-month","Electronic check","Fiber optic","Yes"
11,50.55,"Month-to-month","Electronic check","DSL","No"
7,75.15,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
42,103.8,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
49,20.15,"Two year","Bank transfer (automatic)","No","No"
9,99.3,"Month-to-month","Credit card (automatic)","Fiber optic","No"
35,62.15,"One year","Bank transfer (automatic)","DSL","No"
48,20.65,"Two year","Bank transfer (automatic)","No","No"
46,19.95,"Two year","Mailed check","No","No"
29,33.75,"Month-to-month","Mailed check","DSL","No"
30,82.05,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
1,74.7,"Month-to-month","Electronic check","Fiber optic","No"
66,84,"Two year","Mailed check","DSL","No"
65,111.05,"Month-to-month","Credit card (automatic)","Fiber optic","No"
72,100.9,"Two year","Bank transfer (automatic)","Fiber optic","No"
12,78.95,"Month-to-month","Electronic check","Fiber optic","Yes"
71,66.85,"One year","Credit card (automatic)","DSL","No"
5,21.05,"Month-to-month","Mailed check","No","Yes"
52,21,"Two year","Bank transfer (automatic)","No","No"
25,98.5,"Month-to-month","Electronic check","Fiber optic","Yes"
1,20.2,"Month-to-month","Mailed check","No","No"
1,19.45,"Month-to-month","Electronic check","No","No"
38,95,"One year","Bank transfer (automatic)","Fiber optic","No"
66,45.55,"One year","Bank transfer (automatic)","DSL","No"
68,110,"Two year","Bank transfer (automatic)","Fiber optic","Yes"
5,24.3,"Month-to-month","Mailed check","DSL","No"
72,104.15,"One year","Electronic check","Fiber optic","No"
32,30.15,"One year","Mailed check","DSL","No"
43,94.35,"One year","Mailed check","Fiber optic","No"
72,19.4,"Two year","Credit card (automatic)","No","No"
55,96.75,"Month-to-month","Electronic check","Fiber optic","Yes"
52,57.95,"One year","Credit card (automatic)","DSL","No"
43,91.65,"Month-to-month","Electronic check","Fiber optic","No"
37,76.5,"Month-to-month","Electronic check","Fiber optic","Yes"
64,54.6,"Two year","Electronic check","DSL","No"
3,89.85,"Month-to-month","Electronic check","Fiber optic","No"
36,31.05,"Two year","Bank transfer (automatic)","DSL","No"
10,100.25,"Month-to-month","Electronic check","Fiber optic","Yes"
41,20.65,"Two year","Mailed check","No","No"
27,85.2,"Month-to-month","Credit card (automatic)","Fiber optic","No"
56,99.8,"One year","Credit card (automatic)","Fiber optic","No"
6,20.7,"Month-to-month","Mailed check","No","No"
3,74.4,"Month-to-month","Electronic check","Fiber optic","Yes"
7,50.7,"Month-to-month","Mailed check","DSL","No"
4,20.85,"Month-to-month","Mailed check","No","No"
33,88.95,"Two year","Electronic check","Fiber optic","No"
27,78.05,"Month-to-month","Electronic check","Fiber optic","Yes"
72,23.55,"Two year","Bank transfer (automatic)","No","No"
1,19.75,"Month-to-month","Mailed check","No","No"
71,56.45,"One year","Electronic check","DSL","No"
13,85.95,"Month-to-month","Electronic check","Fiber optic","No"
25,58.6,"Month-to-month","Credit card (automatic)","DSL","Yes"
67,50.55,"Two year","Bank transfer (automatic)","DSL","No"
1,35.45,"Month-to-month","Electronic check","DSL","Yes"
2,44.35,"Month-to-month","Electronic check","DSL","Yes"
43,25.7,"Two year","Credit card (automatic)","No","No"
23,75,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
64,20.2,"Two year","Mailed check","No","No"
57,19.6,"Two year","Mailed check","No","No"
1,70.45,"Month-to-month","Mailed check","Fiber optic","Yes"
72,88.05,"Two year","Credit card (automatic)","DSL","No"
8,71.15,"Month-to-month","Electronic check","DSL","Yes"
61,101.05,"Two year","Bank transfer (automatic)","Fiber optic","No"
64,84.3,"One year","Credit card (automatic)","Fiber optic","No"
71,23.95,"Two year","Bank transfer (automatic)","No","No"
65,99.05,"Two year","Credit card (automatic)","Fiber optic","No"
3,19.6,"One year","Mailed check","No","No"
1,45.65,"Month-to-month","Electronic check","DSL","Yes"
30,64.5,"One year","Credit card (automatic)","DSL","No"
15,69.5,"Month-to-month","Mailed check","DSL","No"
8,68.55,"Month-to-month","Electronic check","DSL","No"
7,95,"Month-to-month","Mailed check","Fiber optic","Yes"
70,108.15,"One year","Credit card (automatic)","Fiber optic","No"
62,86.1,"Two year","Electronic check","DSL","No"
6,19.7,"Month-to-month","Mailed check","No","No"
14,80.9,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
22,84.15,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
22,20.15,"One year","Mailed check","No","No"
16,64.25,"Two year","Mailed check","DSL","No"
10,25.7,"Two year","Bank transfer (automatic)","No","No"
13,56,"Month-to-month","Electronic check","DSL","No"
20,82.4,"Month-to-month","Electronic check","Fiber optic","Yes"
2,69.7,"Month-to-month","Electronic check","Fiber optic","No"
53,73.9,"Two year","Bank transfer (automatic)","DSL","No"
11,20.6,"One year","Mailed check","No","No"
69,19.9,"Two year","Mailed check","No","No"
4,70.9,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
72,89.05,"Two year","Bank transfer (automatic)","DSL","No"
58,45.3,"Month-to-month","Electronic check","DSL","Yes"
16,20.4,"Month-to-month","Electronic check","No","No"
43,84.25,"One year","Bank transfer (automatic)","Fiber optic","No"
2,104.4,"Month-to-month","Electronic check","Fiber optic","Yes"
14,81.95,"Two year","Mailed check","DSL","No"
53,94.85,"One year","Bank transfer (automatic)","Fiber optic","Yes"
32,20.55,"One year","Bank transfer (automatic)","No","No"
34,24.7,"Month-to-month","Electronic check","No","No"
15,74.45,"Month-to-month","Mailed check","Fiber optic","Yes"
7,76.45,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
15,105.35,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
61,20.55,"One year","Credit card (automatic)","No","No"
1,29.95,"Month-to-month","Bank transfer (automatic)","DSL","Yes"
1,45.3,"Month-to-month","Mailed check","DSL","No"
8,84.5,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
33,74.75,"One year","Credit card (automatic)","DSL","No"
13,79.25,"Month-to-month","Electronic check","Fiber optic","Yes"
1,24.8,"Month-to-month","Electronic check","DSL","Yes"
20,51.8,"Month-to-month","Mailed check","DSL","No"
3,30.4,"Month-to-month","Electronic check","DSL","No"
13,19.65,"One year","Electronic check","No","No"
40,56.6,"Month-to-month","Credit card (automatic)","DSL","No"
43,71.9,"One year","Credit card (automatic)","DSL","No"
6,91,"Month-to-month","Electronic check","Fiber optic","Yes"
69,19.75,"Two year","Bank transfer (automatic)","No","No"
72,109.7,"Two year","Credit card (automatic)","Fiber optic","No"
59,19.3,"Two year","Credit card (automatic)","No","No"
20,96.55,"Month-to-month","Electronic check","Fiber optic","No"
24,24.1,"Two year","Bank transfer (automatic)","No","No"
59,111.35,"Month-to-month","Electronic check","Fiber optic","No"
72,112.25,"Two year","Bank transfer (automatic)","Fiber optic","No"
1,20.75,"Month-to-month","Mailed check","No","No"
27,101.9,"One year","Credit card (automatic)","Fiber optic","No"
14,80.05,"Month-to-month","Credit card (automatic)","Fiber optic","No"
71,105.55,"Two year","Electronic check","Fiber optic","No"
13,78.3,"Month-to-month","Credit card (automatic)","Fiber optic","No"
44,68.85,"Month-to-month","Credit card (automatic)","Fiber optic","No"
33,79.95,"One year","Bank transfer (automatic)","Fiber optic","No"
72,55.45,"Two year","Credit card (automatic)","DSL","No"
1,79.9,"Month-to-month","Electronic check","Fiber optic","Yes"
19,106.6,"Month-to-month","Electronic check","Fiber optic","Yes"
64,102.45,"One year","Credit card (automatic)","Fiber optic","No"
2,46,"Month-to-month","Credit card (automatic)","DSL","Yes"
1,25.25,"Month-to-month","Electronic check","DSL","No"
61,19.75,"Two year","Mailed check","No","No"
29,20,"One year","Electronic check","No","No"
23,86.8,"Month-to-month","Electronic check","Fiber optic","No"
57,58.75,"Month-to-month","Bank transfer (automatic)","DSL","No"
72,45.25,"Two year","Credit card (automatic)","DSL","No"
66,56.6,"Two year","Bank transfer (automatic)","DSL","No"
65,84.2,"Two year","Bank transfer (automatic)","DSL","No"
8,80,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
4,70.15,"Month-to-month","Electronic check","Fiber optic","Yes"
71,24.75,"Two year","Bank transfer (automatic)","No","No"
1,20.2,"One year","Electronic check","No","No"
4,50.05,"Month-to-month","Mailed check","DSL","Yes"
12,19.35,"One year","Bank transfer (automatic)","No","No"
24,50.6,"One year","Mailed check","DSL","No"
31,81.15,"One year","Mailed check","DSL","No"
1,55.2,"Month-to-month","Mailed check","DSL","Yes"
30,89.9,"Month-to-month","Credit card (automatic)","Fiber optic","No"
47,85.3,"Two year","Credit card (automatic)","DSL","No"
54,108,"Two year","Credit card (automatic)","Fiber optic","No"
50,93.5,"Month-to-month","Credit card (automatic)","Fiber optic","No"
1,84.6,"Month-to-month","Mailed check","Fiber optic","Yes"
72,20.25,"Two year","Credit card (automatic)","No","No"
29,25.15,"Month-to-month","Electronic check","No","No"
2,54.4,"Month-to-month","Mailed check","DSL","Yes"
10,29.6,"Two year","Mailed check","DSL","No"
18,73.15,"Month-to-month","Electronic check","Fiber optic","No"
11,95,"Month-to-month","Electronic check","Fiber optic","Yes"
16,19.75,"Two year","Mailed check","No","No"
72,86.6,"Two year","Bank transfer (automatic)","DSL","No"
72,109.2,"Two year","Bank transfer (automatic)","Fiber optic","No"
41,74.7,"One year","Credit card (automatic)","DSL","No"
65,94.4,"Month-to-month","Electronic check","Fiber optic","No"
13,54.8,"Month-to-month","Electronic check","DSL","No"
4,75.35,"Month-to-month","Electronic check","Fiber optic","No"
41,65,"One year","Mailed check","DSL","No"
15,74.4,"Month-to-month","Electronic check","Fiber optic","Yes"
1,48.55,"Month-to-month","Mailed check","DSL","Yes"
42,99,"One year","Electronic check","Fiber optic","No"
51,93.5,"One year","Electronic check","Fiber optic","No"
2,70.4,"Month-to-month","Electronic check","Fiber optic","Yes"
1,40.2,"Month-to-month","Electronic check","DSL","Yes"
32,83.7,"One year","Credit card (automatic)","DSL","No"
10,19.85,"Month-to-month","Mailed check","No","No"
67,59.55,"Two year","Electronic check","DSL","No"
61,115.1,"Two year","Credit card (automatic)","Fiber optic","No"
50,114.35,"One year","Credit card (automatic)","Fiber optic","No"
2,44.6,"Month-to-month","Credit card (automatic)","DSL","Yes"
29,45,"Month-to-month","Electronic check","DSL","No"
3,41.15,"Month-to-month","Electronic check","DSL","Yes"
13,106.9,"Month-to-month","Electronic check","Fiber optic","Yes"
57,89.85,"Month-to-month","Electronic check","Fiber optic","No"
31,49.85,"Two year","Bank transfer (automatic)","DSL","No"
45,113.3,"One year","Mailed check","Fiber optic","No"
61,88.1,"Two year","Mailed check","DSL","No"
50,24.9,"Two year","Bank transfer (automatic)","No","No"
19,105,"Month-to-month","Mailed check","Fiber optic","No"
59,19.35,"Two year","Mailed check","No","Yes"
71,24.25,"Two year","Credit card (automatic)","No","No"
16,94.45,"Month-to-month","Electronic check","Fiber optic","Yes"
57,59.75,"Two year","Electronic check","DSL","No"
1,24.8,"Month-to-month","Bank transfer (automatic)","DSL","Yes"
20,107.05,"Month-to-month","Electronic check","Fiber optic","No"
1,70.6,"Month-to-month","Mailed check","Fiber optic","Yes"
5,85.4,"Month-to-month","Electronic check","Fiber optic","Yes"
52,105.05,"Month-to-month","Electronic check","Fiber optic","Yes"
21,64.95,"Month-to-month","Bank transfer (automatic)","DSL","No"
14,55,"Month-to-month","Electronic check","DSL","No"
5,50.55,"Month-to-month","Bank transfer (automatic)","DSL","No"
6,55.15,"Month-to-month","Mailed check","DSL","No"
10,51.2,"Month-to-month","Electronic check","DSL","No"
1,25.4,"Month-to-month","Mailed check","No","No"
68,54.45,"Month-to-month","Mailed check","DSL","No"
18,95.15,"Month-to-month","Mailed check","Fiber optic","Yes"
22,76,"One year","Credit card (automatic)","Fiber optic","No"
20,44.35,"Month-to-month","Electronic check","DSL","No"
1,70,"Month-to-month","Electronic check","Fiber optic","Yes"
8,74.5,"Month-to-month","Electronic check","Fiber optic","Yes"
10,44.85,"Month-to-month","Credit card (automatic)","DSL","Yes"
24,76.1,"Month-to-month","Electronic check","Fiber optic","Yes"
35,61.2,"One year","Mailed check","DSL","No"
23,86.8,"One year","Mailed check","Fiber optic","No"
6,89.35,"Month-to-month","Electronic check","Fiber optic","No"
12,19.7,"Month-to-month","Mailed check","No","No"
1,20.25,"Month-to-month","Mailed check","No","No"
71,76.05,"Two year","Electronic check","Fiber optic","No"
35,100.8,"Month-to-month","Electronic check","Fiber optic","No"
40,74.55,"Month-to-month","Electronic check","DSL","No"
1,73.6,"Month-to-month","Mailed check","Fiber optic","Yes"
23,64.9,"One year","Bank transfer (automatic)","DSL","No"
4,95.45,"Month-to-month","Electronic check","Fiber optic","Yes"
4,90.4,"Month-to-month","Electronic check","Fiber optic","No"
68,60.3,"Two year","Credit card (automatic)","DSL","No"
38,81.85,"Month-to-month","Mailed check","Fiber optic","No"
52,24.8,"Two year","Mailed check","No","No"
32,74.9,"Month-to-month","Electronic check","Fiber optic","Yes"
29,75.55,"Two year","Mailed check","DSL","No"
38,101.15,"Month-to-month","Electronic check","Fiber optic","No"
48,78.75,"One year","Credit card (automatic)","DSL","No"
1,19.25,"Month-to-month","Bank transfer (automatic)","No","No"
22,89.05,"Month-to-month","Electronic check","Fiber optic","No"
43,115.05,"Two year","Credit card (automatic)","Fiber optic","No"
5,69.35,"Month-to-month","Electronic check","Fiber optic","No"
5,80.6,"Month-to-month","Electronic check","Fiber optic","Yes"
51,110.05,"One year","Credit card (automatic)","Fiber optic","No"
71,19.9,"Two year","Credit card (automatic)","No","No"
38,80.3,"One year","Credit card (automatic)","DSL","Yes"
24,93.15,"Month-to-month","Electronic check","Fiber optic","Yes"
35,91.5,"Month-to-month","Credit card (automatic)","Fiber optic","No"
54,82.45,"One year","Bank transfer (automatic)","DSL","Yes"
72,60,"Two year","Electronic check","DSL","No"
1,44.8,"Month-to-month","Electronic check","DSL","No"
9,48.6,"One year","Mailed check","DSL","No"
69,60.05,"Two year","Bank transfer (automatic)","DSL","No"
52,102.7,"Month-to-month","Credit card (automatic)","Fiber optic","No"
11,82.9,"Month-to-month","Electronic check","Fiber optic","No"
2,70.35,"Month-to-month","Electronic check","Fiber optic","Yes"
28,35.9,"Month-to-month","Electronic check","DSL","No"
17,82.65,"Month-to-month","Credit card (automatic)","Fiber optic","No"
35,19.85,"Two year","Mailed check","No","No"
8,19.2,"One year","Mailed check","No","No"
46,94.9,"One year","Credit card (automatic)","Fiber optic","No"
7,73.85,"Month-to-month","Electronic check","Fiber optic","Yes"
2,80.6,"Month-to-month","Mailed check","Fiber optic","Yes"
68,75.8,"One year","Bank transfer (automatic)","DSL","Yes"
43,104.6,"Two year","Electronic check","Fiber optic","Yes"
68,88.15,"Two year","Electronic check","DSL","No"
36,94.8,"Month-to-month","Credit card (automatic)","Fiber optic","No"
63,103.4,"Month-to-month","Electronic check","Fiber optic","Yes"
32,54.65,"Month-to-month","Bank transfer (automatic)","DSL","No"
71,85.75,"Two year","Credit card (automatic)","DSL","No"
66,67.45,"Month-to-month","Bank transfer (automatic)","DSL","No"
63,20.5,"One year","Mailed check","No","No"
41,20.25,"One year","Credit card (automatic)","No","No"
1,72.1,"Month-to-month","Electronic check","Fiber optic","No"
2,90.4,"Month-to-month","Electronic check","Fiber optic","Yes"
70,19.45,"Two year","Bank transfer (automatic)","No","No"
23,44.95,"Month-to-month","Electronic check","DSL","No"
64,97,"One year","Bank transfer (automatic)","Fiber optic","No"
37,62.8,"Two year","Credit card (automatic)","DSL","No"
17,44.6,"One year","Mailed check","DSL","No"
7,89.15,"Month-to-month","Electronic check","Fiber optic","No"
4,84.8,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
21,41.9,"Month-to-month","Electronic check","DSL","Yes"
10,80.25,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
16,54.1,"Month-to-month","Electronic check","DSL","No"
64,105.25,"Two year","Electronic check","Fiber optic","No"
27,30.75,"Month-to-month","Credit card (automatic)","DSL","Yes"
42,97.1,"One year","Electronic check","Fiber optic","No"
5,20.2,"Month-to-month","Mailed check","No","No"
41,98.8,"Two year","Bank transfer (automatic)","Fiber optic","No"
58,50.3,"One year","Credit card (automatic)","DSL","No"
47,20.55,"Two year","Mailed check","No","No"
18,75.9,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
5,96.5,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
23,59.95,"Month-to-month","Bank transfer (automatic)","DSL","No"
1,19.15,"Month-to-month","Mailed check","No","No"
71,98.65,"One year","Credit card (automatic)","Fiber optic","No"
72,112.6,"Two year","Credit card (automatic)","Fiber optic","No"
33,20.6,"One year","Mailed check","No","No"
2,85.65,"Month-to-month","Electronic check","Fiber optic","Yes"
24,35.75,"Two year","Mailed check","DSL","No"
56,99.75,"One year","Credit card (automatic)","Fiber optic","No"
37,96.1,"Month-to-month","Credit card (automatic)","Fiber optic","No"
43,85.1,"One year","Credit card (automatic)","DSL","No"
1,25.35,"Month-to-month","Mailed check","DSL","No"
25,104.95,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
61,89.65,"Two year","Electronic check","DSL","No"
17,86.75,"One year","Electronic check","Fiber optic","No"
41,86.2,"One year","Bank transfer (automatic)","Fiber optic","No"
1,50.65,"Month-to-month","Mailed check","DSL","Yes"
72,64.8,"Two year","Bank transfer (automatic)","DSL","No"
1,90.85,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
48,108.1,"Two year","Bank transfer (automatic)","Fiber optic","No"
11,19.95,"Month-to-month","Mailed check","No","Yes"
55,85.45,"Month-to-month","Electronic check","Fiber optic","Yes"
42,54.75,"One year","Electronic check","DSL","No"
44,90.4,"Month-to-month","Mailed check","Fiber optic","No"
1,44,"Month-to-month","Electronic check","DSL","No"
27,95.6,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
27,84.8,"Month-to-month","Bank transfer (automatic)","DSL","No"
2,44.3,"Month-to-month","Electronic check","DSL","No"
19,19.9,"Month-to-month","Mailed check","No","No"
42,95.05,"Month-to-month","Electronic check","Fiber optic","No"
66,90.05,"Two year","Credit card (automatic)","DSL","No"
33,109.9,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
34,73.95,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
33,54.6,"Month-to-month","Electronic check","DSL","No"
23,20.05,"One year","Mailed check","No","No"
32,19.75,"One year","Bank transfer (automatic)","No","No"
11,20.05,"One year","Credit card (automatic)","No","No"
69,99.45,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
68,55.9,"One year","Bank transfer (automatic)","DSL","No"
20,19.7,"Two year","Mailed check","No","No"
72,19.8,"Two year","Credit card (automatic)","No","No"
60,95.4,"One year","Bank transfer (automatic)","Fiber optic","No"
32,93.95,"Month-to-month","Mailed check","Fiber optic","No"
1,19.9,"Month-to-month","Mailed check","No","Yes"
1,19.6,"Month-to-month","Mailed check","No","Yes"
3,81.35,"Month-to-month","Electronic check","Fiber optic","Yes"
46,24.45,"One year","Bank transfer (automatic)","No","No"
29,74.95,"Month-to-month","Electronic check","Fiber optic","No"
51,87.35,"Month-to-month","Electronic check","Fiber optic","No"
48,70.65,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
16,73.25,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
70,98.7,"Two year","Bank transfer (automatic)","Fiber optic","No"
40,24.8,"Two year","Mailed check","No","No"
22,83.3,"Month-to-month","Electronic check","Fiber optic","Yes"
1,75.3,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
5,24.3,"Month-to-month","Mailed check","No","No"
7,69.85,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
29,100.55,"One year","Credit card (automatic)","Fiber optic","No"
44,25.7,"One year","Mailed check","No","No"
10,40.7,"Month-to-month","Bank transfer (automatic)","DSL","No"
55,51.65,"Month-to-month","Bank transfer (automatic)","DSL","No"
52,105.1,"One year","Bank transfer (automatic)","Fiber optic","No"
10,85.95,"Month-to-month","Electronic check","Fiber optic","No"
18,75.6,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
68,58.25,"One year","Bank transfer (automatic)","DSL","No"
61,19.4,"Month-to-month","Mailed check","No","Yes"
72,65.2,"Two year","Credit card (automatic)","DSL","No"
2,53.45,"Month-to-month","Electronic check","DSL","No"
12,45.4,"Month-to-month","Bank transfer (automatic)","DSL","Yes"
41,19.75,"Two year","Electronic check","No","No"
26,44.45,"Month-to-month","Credit card (automatic)","DSL","No"
36,20.85,"One year","Bank transfer (automatic)","No","No"
72,114.05,"Two year","Credit card (automatic)","Fiber optic","No"
35,89.85,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
1,55.05,"Month-to-month","Mailed check","DSL","No"
16,112.95,"Month-to-month","Electronic check","Fiber optic","No"
49,101.55,"Month-to-month","Credit card (automatic)","Fiber optic","No"
54,114.65,"One year","Mailed check","Fiber optic","No"
18,64.8,"Month-to-month","Electronic check","DSL","No"
36,80.4,"Month-to-month","Electronic check","Fiber optic","No"
60,105.9,"Month-to-month","Electronic check","Fiber optic","Yes"
1,69.55,"Month-to-month","Mailed check","Fiber optic","Yes"
52,25.05,"Two year","Bank transfer (automatic)","No","No"
8,94.75,"Month-to-month","Electronic check","Fiber optic","No"
72,105.5,"Two year","Bank transfer (automatic)","Fiber optic","No"
64,24.7,"One year","Mailed check","No","No"
22,69.75,"Month-to-month","Mailed check","DSL","No"
60,60.2,"Month-to-month","Bank transfer (automatic)","DSL","No"
28,81.05,"Month-to-month","Electronic check","Fiber optic","Yes"
61,24.4,"Two year","Mailed check","No","No"
24,104.15,"Month-to-month","Electronic check","Fiber optic","No"
28,92.9,"One year","Bank transfer (automatic)","Fiber optic","No"
30,80.8,"Two year","Bank transfer (automatic)","DSL","No"
2,20,"Month-to-month","Mailed check","No","No"
1,75.1,"Month-to-month","Electronic check","Fiber optic","No"
6,19.65,"Month-to-month","Mailed check","No","No"
24,69.45,"Month-to-month","Bank transfer (automatic)","DSL","No"
4,101.15,"Month-to-month","Electronic check","Fiber optic","Yes"
7,99.8,"Month-to-month","Electronic check","Fiber optic","Yes"
72,116.05,"Two year","Bank transfer (automatic)","Fiber optic","No"
70,40.05,"Two year","Mailed check","DSL","No"
64,102.1,"Two year","Electronic check","Fiber optic","No"
72,89.7,"One year","Electronic check","Fiber optic","No"
44,19.9,"Two year","Mailed check","No","No"
13,55.95,"Month-to-month","Electronic check","DSL","Yes"
17,20.65,"One year","Mailed check","No","No"
1,55,"Month-to-month","Electronic check","DSL","Yes"
9,70.05,"Month-to-month","Mailed check","DSL","No"
24,53.6,"Month-to-month","Mailed check","DSL","No"
1,74.7,"Month-to-month","Electronic check","Fiber optic","Yes"
24,80.25,"Month-to-month","Electronic check","Fiber optic","Yes"
35,76.05,"Month-to-month","Electronic check","DSL","No"
7,75.7,"Month-to-month","Electronic check","DSL","No"
5,96.1,"Month-to-month","Electronic check","Fiber optic","Yes"
